"","stage","time2","time1","temp2","transfer","temp1","province","generation","block","time2d","time2.orig","group_index","nobs","q5","q50","q95","in.predint"
"149","L3",5,0,20,FALSE,20,"ON","F1",172,3,4,1,1,3.24831768813647,4.49408987833162,6.21090788720775,1
"150","L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"151","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"152","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"153","L4",4,0,20,FALSE,20,"ON","F1",173,2,3,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"154","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"155","L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"156","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"157","L4",6,0,20,FALSE,20,"ON","F1",173,4,5,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"158","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"159","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"160","L4",4,0,20,FALSE,20,"ON","F1",173,2,3,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"161","L4",5,0,20,FALSE,20,"ON","F1",173,3,4,1,1,3.26748573257281,4.3501668669165,5.78281818448386,1
"162","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"163","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"164","L5",7,0,20,FALSE,20,"ON","F1",174,5,6,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"165","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"166","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"167","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"168","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"169","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"170","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"171","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"172","L5",7,0,20,FALSE,20,"ON","F1",174,5,6,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"173","L5",5,0,20,FALSE,20,"ON","F1",174,3,4,1,1,3.47581515842144,4.81603582562492,6.6639597936457,1
"174","L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"175","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"176","L6",12,0,20,FALSE,20,"ON","F1",175,10,11,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"177","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"178","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"179","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"180","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"181","L6",11,0,20,FALSE,20,"ON","F1",175,9,10,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"182","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"183","L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"184","L6",8,0,20,FALSE,20,"ON","F1",175,6,7,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"185","L6",9,0,20,FALSE,20,"ON","F1",175,7,8,1,1,6.14556121378654,8.93469498336884,12.9697990643831,1
"186","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"187","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"188","L2",6,0,25,FALSE,25,"ON","F1",176,5,6,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"189","L2",5,0,25,FALSE,25,"ON","F1",176,4,5,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"190","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"191","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"192","L2",5,0,25,FALSE,25,"ON","F1",176,4,5,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"193","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"194","L2",4,0,25,FALSE,25,"ON","F1",176,3,4,1,1,3.07973323606,4.17406776380978,5.65825925851828,1
"195","L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
"196","L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
"197","L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
"198","L3",4,0,25,FALSE,25,"ON","F1",177,2,3,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
"199","L3",5,0,25,FALSE,25,"ON","F1",177,3,4,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
"200","L3",3,0,25,FALSE,25,"ON","F1",177,1,2,1,1,2.23238077969868,3.09271811471043,4.28105368320389,1
